permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
BP-2020-00344,2020-03-09,70000,Addition / Alteration,Diseno Development Corporation,Dwelling Uses,2020, V6M 1W6
DB-2019-02061,2020-03-09,705000,New Building,Comfort Development Ltd,Dwelling Uses,2020, V5Y 2E9
BP-2019-04623,2020-03-10,15000,Demolition / Deconstruction,CANTON EXCAVATING LTD.,Dwelling Uses,2020, V5N 4J4
BP-2020-00323,2020-03-10,100000,Addition / Alteration,MNG Builders Inc,"Office Uses,Retail Uses",2020, V6A 1X4
DB-2019-04010,2020-03-10,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2020, V6P 6B3
DB-2019-04114,2020-03-10,15000,Demolition / Deconstruction,KING DEMOLITION & EXCAVATION LTD,Dwelling Uses,2020, V5X 1W1
DB-2019-04690,2020-03-10,719800,New Building,DL Shury Developments Ltd,Dwelling Uses,2020, V5K 1K1
DB-2019-05013,2020-03-10,1124000,New Building,NRB Contracting Ltd,Dwelling Uses,2020, V5K 1N8
DB-2019-05018,2020-03-10,258535,New Building,NRB Contracting Ltd,Dwelling Uses,2020, V5K 1N8
BP-2019-03806,2020-03-11,769940,New Building,Victoreric Premium Homes Ltd,Dwelling Uses,2020, V6S 1Y6
BP-2019-02553,2020-03-12,377500,New Building,Gallery Homes Ltd,Dwelling Uses,2020, V5L 4M3
BP-2020-00390,2020-03-12,30000,Addition / Alteration,Fusion Project Management Ltd,Office Uses,2020, V6E 4M3
BP-2020-00631,2020-03-12,138000,Addition / Alteration,VPAC Construction Group Ltd,Office Uses,2020, V5Y 3W2
DB-2019-04356,2020-03-12,158132,New Building,North Oriental Construction Ltd,Dwelling Uses,2020, V5X 1W9
DB-2020-00438,2020-03-12,21000,Addition / Alteration,Trasolini Dagg Construction Corp,"Office Uses,Retail Uses",2020, V5Y 3Z5
BP-2020-00174,2020-03-13,275000,Addition / Alteration,Clark Builders (British Columbia) Inc,Cultural/Recreational Uses,2020, V6Z 1K7
BP-2020-00499,2020-03-13,240000,Addition / Alteration,Fusion Project Management Ltd,Office Uses,2020, V6C 3B2
DB-2019-04865,2020-03-13,15000,Demolition / Deconstruction,Bhullar Excavating and Demolition,Dwelling Uses,2020, V5S 3L2
DB-2019-04867,2020-03-13,210665,New Building,Homeline Construction & Renovation Ltd,Dwelling Uses,2020, V5S 3L2
BP-2019-04213,2020-03-16,3450000,Addition / Alteration,Fusion Project Management Ltd,"Institutional Uses,Service Uses",2020, V6Z 1N1
DB-2020-00374,2020-03-16,70000,Addition / Alteration,New Look Properties Inc.,Dwelling Uses,2020, V6K 2A1
DB-2019-01086,2020-03-18,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2020, V6H 1Y8
BP-2020-00566,2020-03-19,5000,Addition / Alteration,Humphries Construction Group Ltd,Wholesale Uses,2020, V5L 3K1
BP-2020-00425,2020-03-23,275000,Addition / Alteration,Soma Interiors Ltd,Retail Uses,2020, V7Y 1K8
BP-2020-00516,2020-03-23,80000,Addition / Alteration,KTC Management Group Ltd,"Office Uses,Retail Uses",2020, V6B 3H7
DB-2019-04067,2020-03-23,231582.5,New Building,MHR Homes Ltd,Dwelling Uses,2020, V5V 2N5
DB-2019-05048,2020-03-25,160162.5,New Building,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2020, V5Z 1W3
DB-2019-02098,2020-03-26,682500,New Building,Lanka Constructions Ltd,Dwelling Uses,2020, V5V 1E3
BP-2019-04646,2020-03-27,1200000,Addition / Alteration,0869270 BC Ltd.,Dwelling Uses,2020, V5Y 1Y1
BP-2020-00836,2020-03-27,50000,Addition / Alteration,Focus Project Management Ltd,Office Uses,2020, V6E 2K3
DB-2019-03872,2020-03-30,131250,New Building,Coastline Projects Ltd,Dwelling Uses,2020, V6S 1J9
DB-2019-04636,2020-03-30,775750,New Building,Mercia Construction Ltd,Dwelling Uses,2020, V5W 1A8
BP-2019-02471,2020-03-31,15000,Demolition / Deconstruction,San Contracting & Excavating Ltd,Dwelling Uses,2020, V5W 3N9
BP-2019-05731,2020-03-31,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2020, V5Y 2K7
BP-2020-00917,2020-03-31,35000,Addition / Alteration,Epic Spaces Inc,Office Uses,2020, V7X 1M3
DB-2019-01711,2020-04-01,241750,New Building,Bela Construction Ltd,Dwelling Uses,2020, V6N 1V4
BP-2019-05024,2020-04-02,15000,Demolition / Deconstruction,Dryland Excavating Ltd,Dwelling Uses,2020, V6P 2J7
DB-2020-00708,2020-04-03,400000,Addition / Alteration,IDR Commercial Construction Management Ltd,Office Uses,2020, V5Z 1C3
BP-2020-00490,2020-04-06,25000,Addition / Alteration,H B W Construction & Renovation,Dwelling Uses,2020, V6A 0B4
DB-2019-02890,2020-04-07,648202.5,New Building,Unique-Style Homes Ltd,Dwelling Uses,2020, V5M 2V3
DB-2019-05874,2020-04-07,1749750,New Building,Bailida Investment And Development Group Ltd,Dwelling Uses,2020, V6P 5B1
DB-2019-05020,2020-04-09,4500,Addition / Alteration,THT Properties Ltd,Dwelling Uses,2020, V5R 2J4
DB-2019-05216,2020-04-09,400000,Addition / Alteration,My House Design/Build Team Ltd,Dwelling Uses,2020, V5T 2S8
BP-2019-04921,2020-04-14,15000,Demolition / Deconstruction,AKAL DEMOLITION & EXCAVATING LTD,Dwelling Uses,2020, V5W 1J3
BP-2020-00408,2020-04-14,15000,Demolition / Deconstruction,AKAL DEMOLITION & EXCAVATING LTD,Dwelling Uses,2020, V5N 3G1
BP-2020-00208,2020-04-15,75000,Addition / Alteration,Kerr Construction Inc,Dwelling Uses,2020, V6R 3C7
DB-2019-05705,2020-04-15,715000,New Building,Grand City Development Ltd,Dwelling Uses,2020, V5R 2Y4
BP-2020-00221,2020-03-11,15000,Addition / Alteration,Priority Projects,Office Uses,2020, V6C 3L6
